Rank|Name|Yr|Pos|G|Att|Yards|Avg|TD|Att/G|Yards/G|TeamID|Year
1.0|Arion Worthman|JR|QB|7|163|642|3.94|12|23.29|91.71|721|2017
2.0|Tim McVey|SR|RB|7|81|519|6.41|6|11.57|74.14|721|2017
3.0|Ronald Cleveland|JR|WR|7|30|344|11.47|3|4.29|49.14|721|2017
4.0|Parker Wilson|JR|RB|7|44|200|4.55|0|6.29|28.57|721|2017
5.0|Nolan Eriksen|SO|RB|6|31|198|6.39|1|5.17|33.00|721|2017
6.0|Taven Birdow|SO|RB|4|36|160|4.44|1|9.00|40.00|721|2017
7.0|Jacob Stafford|SR|RB|7|21|93|4.43|0|3.00|13.29|721|2017
8.0|Garrett Amy|JR|WR|4|11|55|5.00|1|2.75|13.75|721|2017
9.0|Nate Romine|SR|QB|3|3|44|14.67|0|1.00|14.67|721|2017
10.0|Malik Miller|JR|RB|4|7|33|4.71|1|1.75|8.25|721|2017
11.0|Aubrey Duty-Tyson|SR|RB|1|5|32|6.40|1|5.00|32.00|721|2017
12.0|Jake LaCoste|SR|WR|1|2|26|13.00|0|2.00|26.00|721|2017
13.0|Mike Schmidt|||1|1|21|21.00|0|1.00|21.00|721|2017
14.0|Christian Mallard|SO|RB|3|4|21|5.25|1|1.33|7.00|721|2017
15.0|D'Morea Wicks|SO|WR|1|2|14|7.00|0|2.00|14.00|721|2017
16.0|Isaiah Sanders|SO|QB|1|2|11|5.50|0|2.00|11.00|721|2017
17.0|Colton Parton|SO|LB|1|4|11|2.75|0|4.00|11.00|721|2017
18.0|Cole Fagan|SO|RB|5|3|9|3.00|0|0.60|1.80|721|2017
19.0|Benton Washington|SR|RB|2|1|5|5.00|0|0.50|2.50|721|2017
20.0|Tyler Williams|SR|WR|4|2|3|1.50|0|0.50|0.75|721|2017
21.0|Geraud Sanders|SO|WR|7|0|2|-|0|-|-|721|2017
22.0|Andrew Smith|JR|WR|2|2|2|1.00|0|1.00|1.00|721|2017
23.0|Charlie Scott|SO||7|1|-23|-23.00|0|0.14|-3.29|721|2017
24.0|Team|||4|7|-26|-3.71|0|1.75|-6.50|721|2017
|Total|||7|463|2390|5.16|27|66.14|341.43|721|2017
|Opponents|||7|268|1689|6.30|19|38.29|241.29|721|2017
1.0|Warren Ball|SR|RB|5|75|332|4.43|4|15.00|66.40|5|2017
2.0|Van Edwards, Jr.|JR|RB|8|63|215|3.41|2|7.88|26.88|5|2017
3.0|Manny Morgan|SR|RB|8|47|184|3.91|1|5.88|23.00|5|2017
4.0|Deltron Sands|SO|RB|8|18|103|5.72|2|2.25|12.88|5|2017
5.0|Kato Nelson|FR|QB|5|19|89|4.68|0|3.80|17.80|5|2017
6.0|Chuck Turfe|SO|RB|6|2|14|7.00|0|0.33|2.33|5|2017
7.0|Andre Williams|FR|WR|6|1|7|7.00|0|0.17|1.17|5|2017
8.0|Thomas Woodson|SR|QB|8|38|-25|-0.66|1|4.75|-3.13|5|2017
|Total|||8|263|919|3.49|10|32.88|114.88|5|2017
|Opponents|||8|315|1541|4.89|11|39.38|192.63|5|2017
1.0|Damien Harris|JR|RB|8|81|697|8.60|10|10.13|87.13|8|2017
2.0|Jalen Hurts|SO|QB|8|84|572|6.81|6|10.50|71.50|8|2017
3.0|Bo Scarbrough|JR|RB|8|81|377|4.65|6|10.13|47.13|8|2017
4.0|Najee Harris|FR|RB|8|49|282|5.76|2|6.13|35.25|8|2017
5.0|Josh Jacobs|SO|RB|6|24|171|7.13|0|4.00|28.50|8|2017
6.0|Brian Robinson Jr.|FR|RB|5|17|115|6.76|1|3.40|23.00|8|2017
7.0|Tua Tagovailoa|FR|QB|7|12|95|7.92|2|1.71|13.57|8|2017
8.0|Ronnie Clark|JR|RB|4|17|86|5.06|1|4.25|21.50|8|2017
9.0|Calvin Ridley|JR|WR|8|2|17|8.50|0|0.25|2.13|8|2017
10.0|Team|||6|10|-22|-2.20|0|1.67|-3.67|8|2017
|Total|||8|377|2390|6.34|28|47.13|298.75|8|2017
|Opponents|||8|230|531|2.31|2|28.75|66.38|8|2017
1.0|Jalin Moore|JR|RB|7|91|449|4.93|4|13.00|64.14|27|2017
2.0|Terrence Upshaw|SR|RB|6|68|314|4.62|4|11.33|52.33|27|2017
3.0|Taylor Lamb|SR|QB|7|42|279|6.64|2|6.00|39.86|27|2017
4.0|Marcus Williams Jr.|FR|RB|3|24|124|5.17|2|8.00|41.33|27|2017
5.0|Zac Thomas|FR|QB|2|6|32|5.33|0|3.00|16.00|27|2017
6.0|DeMarcus Harper|FR|RB|1|3|28|9.33|0|3.00|28.00|27|2017
7.0|De'Vonta Smith|FR|RB|1|6|15|2.50|0|6.00|15.00|27|2017
8.0|Malik Williams|FR|WR|7|3|8|2.67|0|0.43|1.14|27|2017
9.0|Daetrich Harrington|FR|RB|3|3|7|2.33|0|1.00|2.33|27|2017
10.0|Jacob Huesman|FR|QB|1|1|2|2.00|0|1.00|2.00|27|2017
11.0|Ike Lewis|SR|WR|7|1|-5|-5.00|0|0.14|-0.71|27|2017
12.0|Team|||5|6|-12|-2.00|0|1.20|-2.40|27|2017
|Total|||7|254|1241|4.89|12|36.29|177.29|27|2017
|Opponents|||7|262|981|3.74|6|37.43|140.14|27|2017
1.0|Khalil Tate|SO|QB|5|56|780|13.93|7|11.20|156.00|29|2017
2.0|J.J. Taylor|FR|RB|7|78|366|4.69|2|11.14|52.29|29|2017
3.0|Brandon Dawkins|JR|QB|5|56|358|6.39|6|11.20|71.60|29|2017
4.0|Nick Wilson|SR|RB|6|69|353|5.12|3|11.50|58.83|29|2017
5.0|Zach Green|SR|RB|7|47|266|5.66|5|6.71|38.00|29|2017
6.0|Nathan Tilford|FR|RB|6|12|116|9.67|2|2.00|19.33|29|2017
7.0|Tyrell Johnson|SR|WR|7|3|79|26.33|1|0.43|11.29|29|2017
8.0|Branden Leon|SO|RB|7|12|67|5.58|1|1.71|9.57|29|2017
9.0|Shun Brown|JR|WR|7|1|22|22.00|0|0.14|3.14|29|2017
10.0|Rhett Rodriguez|FR|QB|2|4|-1|-0.25|1|2.00|-0.50|29|2017
11.0|Team|||4|4|-7|-1.75|0|1.00|-1.75|29|2017
|Total|||7|342|2399|7.01|28|48.86|342.71|29|2017
|Opponents|||7|274|1134|4.14|17|39.14|162.00|29|2017
1.0|Kalen Ballage|SR|RB|7|93|378|4.06|5|13.29|54.00|28|2017
2.0|Demario Richard|SR|RB|6|85|309|3.64|5|14.17|51.50|28|2017
3.0|Kyle Williams|SO|WR|7|6|76|12.67|0|0.86|10.86|28|2017
4.0|Manny Wilkins|JR|QB|7|72|65|0.90|3|10.29|9.29|28|2017
5.0|N'Keal Harry|SO|WR|7|11|47|4.27|0|1.57|6.71|28|2017
6.0|Frank Darby|FR|WR|6|1|21|21.00|1|0.17|3.50|28|2017
7.0|Nick Ralston|SO|RB|7|3|18|6.00|0|0.43|2.57|28|2017
8.0|Eno Benjamin|FR|RB|4|8|13|1.63|0|2.00|3.25|28|2017
9.0|Trelon Smith|FR|RB|3|1|4|4.00|0|0.33|1.33|28|2017
10.0|Jalen Harvey|JR|WR|7|1|2|2.00|0|0.14|0.29|28|2017
11.0|Mark Cosgrove|JR|RB|1|1|0|0.00|0|1.00|0.00|28|2017
12.0|Blake Barnett|SO|QB|2|1|-3|-3.00|0|0.50|-1.50|28|2017
13.0|Ryan Newsome|SO|WR|5|1|-10|-10.00|0|0.20|-2.00|28|2017
14.0|Team|||5|8|-23|-2.88|0|1.60|-4.60|28|2017
|Total|||7|292|897|3.07|14|41.71|128.14|28|2017
|Opponents|||7|221|1154|5.22|11|31.57|164.86|28|2017
1.0|Chase Hayden|FR|RB|7|61|326|5.34|4|8.71|46.57|31|2017
2.0|David Williams|SR|RB|7|67|326|4.87|5|9.57|46.57|31|2017
3.0|Devwah Whaley|SO|RB|7|68|295|4.34|3|9.71|42.14|31|2017
4.0|Jordan Jones|FR|WR|7|5|73|14.60|0|0.71|10.43|31|2017
5.0|T.J. Hammonds|SO|WR|7|7|56|8.00|0|1.00|8.00|31|2017
6.0|Cole Kelley|FR|QB|6|35|46|1.31|0|5.83|7.67|31|2017
7.0|Jonathan Nance|JR|WR|7|2|16|8.00|0|0.29|2.29|31|2017
8.0|Deon Stewart|SO|WR|7|5|4|0.80|0|0.71|0.57|31|2017
9.0|Kendrick Jackson|JR|RB|6|1|0|0.00|0|0.17|0.00|31|2017
10.0|Team|||1|2|-2|-1.00|0|2.00|-2.00|31|2017
11.0|Austin Allen|SR|QB|5|22|-15|-0.68|0|4.40|-3.00|31|2017
|Total|||7|275|1125|4.09|12|39.29|160.71|31|2017
|Opponents|||7|255|1383|5.42|17|36.43|197.57|31|2017
1.0|Warren Wand|JR|RB|5|49|285|5.82|4|9.80|57.00|30|2017
2.0|Justice Hansen|JR|QB|6|47|220|4.68|1|7.83|36.67|30|2017
3.0|Johnston White|SR|RB|6|41|177|4.32|1|6.83|29.50|30|2017
4.0|Jamal Jones|SO|RB|6|35|157|4.49|0|5.83|26.17|30|2017
5.0|Chauncey Mason|SO|RB|4|10|85|8.50|1|2.50|21.25|30|2017
6.0|Armond Weh-Weh|SR|RB|2|2|12|6.00|0|1.00|6.00|30|2017
7.0|Logan Bonner|FR|QB|4|7|11|1.57|0|1.75|2.75|30|2017
8.0|Justin McInnis|JR|WR|6|1|3|3.00|0|0.17|0.50|30|2017
9.0|Chris Murray|SR|WR|6|3|3|1.00|0|0.50|0.50|30|2017
10.0|Carson Coats|SO|QB|1|1|-6|-6.00|0|1.00|-6.00|30|2017
11.0|Damon Foncham|SO|P|6|1|-18|-18.00|0|0.17|-3.00|30|2017
12.0|Team|||3|5|-51|-10.20|0|1.67|-17.00|30|2017
|Total|||6|202|878|4.35|7|33.67|146.33|30|2017
|Opponents|||6|273|1213|4.44|9|45.50|202.17|30|2017
1.0|Ahmad Bradshaw|SR|QB|8|119|867|7.29|7|14.88|108.38|725|2017
2.0|Kell Walker|SO|RB|7|54|471|8.72|4|7.71|67.29|725|2017
3.0|Darnell Woolfolk|JR|RB|5|73|443|6.07|8|14.60|88.60|725|2017
4.0|Andy Davidson|JR|RB|8|71|376|5.30|2|8.88|47.00|725|2017
5.0|Calen Holt|JR|RB|8|39|202|5.18|1|4.88|25.25|725|2017
6.0|Connor Slomka|SO|RB|8|38|177|4.66|4|4.75|22.13|725|2017
7.0|Jordan Asberry|JR|RB|8|15|97|6.47|0|1.88|12.13|725|2017
8.0|Sandon McCoy|FR|RB|3|12|58|4.83|0|4.00|19.33|725|2017
9.0|Kelvin Hopkins Jr.|SO|QB|7|7|40|5.71|0|1.00|5.71|725|2017
10.0|John Trainor|SR|RB|6|10|33|3.30|1|1.67|5.50|725|2017
11.0|Fred Cooper Jr.|FR|RB|5|7|30|4.29|1|1.40|6.00|725|2017
12.0|Luke Langdon|JR|QB|5|8|24|3.00|1|1.60|4.80|725|2017
13.0|Zack Boobas|FR|RB|1|2|23|11.50|1|2.00|23.00|725|2017
14.0|Artice Hobbs IV|FR|RB|3|2|15|7.50|1|0.67|5.00|725|2017
15.0|Nick Schrage|JR|K|8|1|15|15.00|0|0.13|1.88|725|2017
16.0|TJ Wisham Jr.|FR|RB|3|2|14|7.00|0|0.67|4.67|725|2017
17.0|Dominic Distefano|FR|RB|3|1|10|10.00|0|0.33|3.33|725|2017
18.0|Donovan Franklin|SO|RB|4|1|7|7.00|0|0.25|1.75|725|2017
19.0|Team|||3|4|-5|-1.25|0|1.33|-1.67|725|2017
|Total|||8|466|2897|6.22|31|58.25|362.13|725|2017
|Opponents|||8|256|1412|5.52|13|32.00|176.50|725|2017
1.0|Kerryon Johnson|JR|RB|6|137|723|5.28|14|22.83|120.50|37|2017
2.0|Kamryn Pettway|JR|RB|5|76|305|4.01|6|15.20|61.00|37|2017
3.0|Kam Martin|SO|RB|8|33|264|8.00|1|4.13|33.00|37|2017
4.0|Eli Stove|SO|WR|8|13|195|15.00|0|1.63|24.38|37|2017
5.0|Malik Willis|FR|QB|4|12|156|13.00|1|3.00|39.00|37|2017
6.0|Malik Miller|FR|RB|8|28|115|4.11|0|3.50|14.38|37|2017
7.0|Jarrett Stidham|SO|QB|8|54|75|1.39|2|6.75|9.38|37|2017
8.0|Devan Barrett|FR|RB|8|11|61|5.55|0|1.38|7.63|37|2017
9.0|Noah Igbinoghene|FR|WR|8|1|11|11.00|0|0.13|1.38|37|2017
10.0|Devin Adams|JR|QB|1|2|6|3.00|0|2.00|6.00|37|2017
11.0|Chandler Cox|JR|RB|8|1|0|0.00|0|0.13|0.00|37|2017
12.0|Team|||4|4|-9|-2.25|0|1.00|-2.25|37|2017
|Total|||8|372|1902|5.11|24|46.50|237.75|37|2017
|Opponents|||8|307|995|3.24|5|38.38|124.38|37|2017
1.0|Ula Tolutau|FR|RB|7|72|303|4.21|2|10.29|43.29|77|2017
2.0|Squally Canada|JR|RB|6|45|205|4.56|1|7.50|34.17|77|2017
3.0|Kavika Fonua|JR|RB|4|18|87|4.83|0|4.50|21.75|77|2017
4.0|KJ Hall|SO|RB|3|12|57|4.75|0|4.00|19.00|77|2017
5.0|Austin Kafentzis|SO|RB|5|10|36|3.60|0|2.00|7.20|77|2017
6.0|Trey Dye|JR|RB|7|9|31|3.44|0|1.29|4.43|77|2017
7.0|Beau Hoge|SO|QB|2|9|28|3.11|0|4.50|14.00|77|2017
8.0|Brayden El-Bakri|JR|RB|8|7|19|2.71|0|0.88|2.38|77|2017
9.0|Riley Burt|SO|RB|4|4|9|2.25|0|1.00|2.25|77|2017
10.0|Jonah Trinnaman|SR|WR|8|2|9|4.50|0|0.25|1.13|77|2017
11.0|Beau Tanner|JR|WR|8|1|6|6.00|0|0.13|0.75|77|2017
12.0|Koy Detmer Jr.|SO|QB|1|1|1|1.00|0|1.00|1.00|77|2017
13.0|Jonny Linehan|SR|P|8|1|0|0.00|0|0.13|0.00|77|2017
14.0|Team|||5|4|-25|-6.25|0|0.80|-5.00|77|2017
15.0|Tanner Mangum|JR|QB|6|21|-49|-2.33|0|3.50|-8.17|77|2017
|Total|||8|216|717|3.32|3|27.00|89.63|77|2017
|Opponents|||8|357|1424|3.99|12|44.63|178.00|77|2017
1.0|Caleb Huntley|FR|RB|7|97|467|4.81|3|13.86|66.71|47|2017
